Title,Director,Format,Year,Run Time,Color/B&W,Sound,Aspect Ratio,Spine,Country of Origin,Language,Notes
"Last Days of Disco, The","Stillman, Whit",Blu-Ray,1998,113,Color,5.1 Surround,1.78:1,485,US,English,
Late Spring,"Ozu, Yasujiro",Blu-Ray,1949,108,B&W,Mono,1.33:1,331,Japan,Japanese,Inherited from Chris Jacobs
"Life Aquatic with Steve Zissou, The","Anderson, Wes",DVD,2004,118,Color,Stereo,2.35:1,300,US,English,
Lola,"Demy, Jacques",Dual-Format,1961,88,B&W,Mono,2.35:1,714,"Italy, France","French, English",Essential Jacques Demy
Lone Wolf and Cub: Baby Cart at the River Styx,"Misumi, Kenji",Blu-Ray,1972,85,Color,Mono,2.40:1,841,Japan,Japanese,Lone Wolf and Cub Box Set
Lone Wolf and Cub: Baby Cart in Peril,"Saito, Buichi",Blu-Ray,1972,81,Color,Mono,2.40:1,841,Japan,Japanese,Lone Wolf and Cub Box Set
Lone Wolf and Cub: Baby Cart in the Land of Demons,"Misumi, Kenji",Blu-Ray,1973,89,Color,Mono,2.40:1,841,Japan,Japanese,Lone Wolf and Cub Box Set
Lone Wolf and Cub: Baby Cart to Hades,"Misumi, Kenji",Blu-Ray,1972,89,Color,Mono,2.40:1,841,Japan,Japanese,Lone Wolf and Cub Box Set
Lone Wolf and Cub: Sword of Vengeance,"Misumi, Kenji",Blu-Ray,1972,87,Color,Mono,2.40:1,841,Japan,Japanese,Lone Wolf and Cub Box Set
Lone Wolf and Cub: White Heaven in Hell,"Kuroda, Yoshiyuki",Blu-Ray,1974,84,Color,Mono,2.40:1,841,Japan,Japanese,Lone Wolf and Cub Box Set
